,trade_date,close,open,high,low,vol
0,20240418,3074.2246,3060.0309,3102.5527,3057.7606,416321349.0
1,20240417,3071.3806,3008.0614,3071.3806,3002.0564,413358368.0
2,20240416,3007.0681,3043.5505,3052.4346,3005.34,448070473.0
3,20240415,3057.3776,3013.6722,3066.9412,2995.542,461239244.0
4,20240412,3019.4735,3035.5773,3043.5599,3014.8297,334229771.0
5,20240411,3034.2464,3013.5727,3050.3372,3009.8972,340894392.0
6,20240410,3027.3349,3045.9609,3049.6072,3013.5897,348991721.0
7,20240409,3048.5369,3044.6136,3051.5851,3033.2089,333489965.0
8,20240408,3047.0526,3057.3255,3077.3512,3045.4692,402936740.0
9,20240403,3069.2959,3074.8929,3079.02,3057.3972,363211380.0
10,20240402,3074.9586,3076.8752,3085.5365,3063.9808,367304262.0
11,20240401,3077.3786,3049.0207,3078.4883,3049.0207,375393640.0
12,20240329,3041.1669,3008.3757,3041.2978,3008.1672,334822785.0
13,20240328,3010.6636,2988.5899,3033.3666,2984.1201,353200026.0
14,20240327,2993.1388,3026.8138,3030.4495,2993.1388,343198010.0
15,20240326,3031.4809,3026.9218,3036.4939,3006.2597,345928787.0
16,20240325,3026.3055,3040.501,3065.2611,3026.3055,387485389.0
17,20240322,3048.0336,3070.5481,3073.2058,3027.7615,394740486.0
18,20240321,3077.113,3084.4116,3090.0513,3069.272,366877968.0
19,20240320,3079.6859,3058.6478,3081.7547,3056.645,349187729.0
20,20240319,3062.7558,3077.9805,3090.0459,3062.6279,384123680.0
21,20240318,3084.9262,3057.2093,3085.3124,3055.9221,406653508.0
22,20240315,3054.6359,3031.5229,3056.4473,3023.2152,360268463.0
23,20240314,3038.2339,3042.4131,3059.9975,3020.637,364072290.0
24,20240313,3043.8346,3053.3413,3061.951,3031.8985,365047453.0
25,20240312,3055.935,3068.182,3075.1308,3044.8572,415743914.0
26,20240311,3068.4554,3042.6188,3068.4554,3035.4451,361608821.0
27,20240308,3046.0192,3026.1654,3049.194,3016.9032,319204392.0
28,20240307,3027.4013,3040.2111,3063.6924,3023.1177,377154391.0
29,20240306,3039.9309,3041.7518,3060.5629,3034.3536,340982739.0
30,20240305,3047.7931,3027.1028,3052.5413,3022.1777,383509955.0
31,20240304,3039.3055,3026.6071,3040.3447,3007.6829,387760002.0
32,20240301,3027.0204,3013.8229,3032.2315,3003.7632,379132184.0
33,20240229,3015.1712,2943.6242,3015.1712,2943.6242,409696374.0
34,20240228,2957.8524,3016.2555,3031.4881,2957.8524,544109093.0
35,20240227,3015.4807,2966.4166,3015.4807,2961.1479,372984687.0
36,20240226,2977.0221,3002.1179,3009.479,2967.0571,409026558.0
37,20240223,3004.881,2992.9115,3009.1359,2979.9728,380083270.0
38,20240222,2988.3578,2945.4465,2988.3578,2944.4988,354132536.0
39,20240221,2950.9556,2906.0243,2994.6149,2898.0496,444245463.0
40,20240220,2922.7302,2902.8765,2927.308,2887.4741,350138735.0
41,20240219,2910.544,2886.5871,2910.544,2867.7103,458967704.0
42,20240208,2865.9032,2832.4855,2867.4738,2827.902,531108893.0
43,20240207,2829.6956,2791.5145,2829.6956,2770.5293,547117439.0
44,20240206,2789.486,2680.4846,2802.9312,2669.6732,502849313.0
45,20240205,2702.185,2716.081,2739.7383,2635.0897,478990292.0
46,20240202,2730.152,2773.2949,2791.6756,2666.3335,426230199.0
47,20240201,2770.7403,2773.4239,2805.0146,2752.7824,352889185.0
48,20240131,2788.5482,2815.5042,2834.011,2782.5869,377103965.0
49,20240130,2830.5266,2866.2795,2881.3468,2829.2498,335661226.0
50,20240129,2883.356,2910.6072,2923.8992,2883.3327,410581311.0
51,20240126,2910.2227,2897.9149,2924.3065,2890.4819,421109084.0
52,20240125,2906.1087,2823.8259,2906.794,2821.7093,442009045.0
53,20240124,2820.7719,2782.1415,2823.6953,2743.3971,369070600.0
54,20240123,2770.9763,2746.8923,2784.8407,2724.1573,308749417.0
55,20240122,2756.3399,2826.5034,2828.3202,2735.3721,350165758.0
56,20240119,2832.2793,2836.9749,2849.8755,2822.8434,266664388.0
57,20240118,2845.7839,2822.6672,2849.2559,2760.978,390396855.0
58,20240117,2833.6152,2887.2917,2887.4893,2833.6152,261251308.0
59,20240116,2893.9886,2881.5602,2896.683,2861.1302,286286714.0
60,20240115,2886.2908,2872.5562,2904.4643,2869.2236,244611236.0
61,20240112,2881.9769,2880.0399,2904.1743,2878.8752,261602931.0
62,20240111,2886.6502,2873.7982,2896.1788,2867.7223,267050764.0
63,20240110,2877.7023,2886.9807,2903.1621,2870.4155,244046526.0
64,20240109,2893.2513,2887.1095,2900.7266,2878.4123,262955975.0
65,20240108,2887.5379,2923.457,2924.4559,2887.5379,270275055.0
66,20240105,2929.1833,2949.8221,2967.9677,2916.7206,301040239.0
67,20240104,2954.3486,2965.5087,2966.6828,2936.6347,264980924.0
68,20240103,2967.2472,2957.1117,2971.2834,2953.2901,285455945.0
69,20240102,2962.2762,2972.775,2976.2682,2962.2762,304141793.0
70,20231229,2974.9348,2950.8372,2975.0319,2950.0173,290672687.0
71,20231228,2954.7035,2913.1096,2961.6476,2909.3886,339213116.0
72,20231227,2914.6138,2900.1491,2917.9564,2890.165,247900882.0
73,20231226,2898.8787,2917.9708,2917.9708,2892.8373,228140855.0
74,20231225,2918.8126,2909.8751,2920.6323,2903.987,229814178.0
75,20231222,2914.7752,2919.2879,2935.7002,2906.5094,296628367.0
76,20231221,2918.7149,2892.0201,2924.2562,2882.0195,282541827.0
77,20231220,2902.1096,2932.1186,2937.1011,2902.0395,265562454.0
78,20231219,2932.3908,2928.7631,2940.5014,2914.1253,265926980.0
79,20231218,2930.8036,2936.5751,2951.1479,2924.3254,293086999.0
80,20231215,2942.5568,2966.3015,2976.3094,2940.0266,289327642.0
81,20231214,2958.9856,2979.699,2986.1773,2958.066,271457650.0
82,20231213,2968.7606,2997.3358,2997.3358,2968.7606,282754098.0
83,20231212,3003.4378,2986.3282,3003.7455,2980.4462,287638762.0
84,20231211,2991.4385,2956.2905,2995.6698,2930.422,360216344.0
85,20231208,2969.5594,2965.3901,2980.8344,2962.327,369138705.0
86,20231207,2966.2061,2965.6523,2976.0148,2949.1438,296243687.0
87,20231206,2968.9334,2966.9475,2985.3143,2959.603,294104187.0
88,20231205,2972.2959,3017.0102,3017.0102,2972.2959,293943278.0
89,20231204,3022.9138,3033.298,3038.9794,3022.3477,288162053.0
90,20231201,3031.6358,3027.353,3035.7599,3010.2333,286089700.0
91,20231130,3029.6727,3021.1025,3030.9086,3013.7678,282945357.0
92,20231129,3021.6874,3038.4641,3038.9767,3017.6611,277956448.0
93,20231128,3038.5545,3028.5983,3039.6945,3020.2306,268920746.0
94,20231127,3031.7002,3038.1864,3038.3578,3015.0076,310517868.0
95,20231124,3040.9717,3060.3306,3060.3306,3037.2012,287788413.0
96,20231123,3061.8562,3041.6779,3062.8665,3034.2969,276592059.0
97,20231122,3043.611,3060.4984,3067.9625,3043.611,289056490.0
98,20231121,3067.9328,3074.8281,3089.7738,3063.3449,330733102.0
99,20231120,3068.3191,3056.9268,3072.5134,3043.5148,287556998.0
100,20231117,3054.3655,3043.617,3055.8561,3033.7472,267606393.0
101,20231116,3050.9257,3066.8554,3071.4522,3050.9257,271079460.0
102,20231115,3072.8348,3077.0291,3080.1284,3064.3464,304250107.0
103,20231114,3056.0703,3046.8171,3059.5294,3044.4259,294844733.0
104,20231113,3046.5329,3044.0319,3048.6209,3028.168,290430588.0
105,20231110,3038.9699,3043.5585,3044.0007,3027.0878,285546497.0
106,20231109,3053.2792,3047.6532,3063.4674,3045.8336,315621764.0
107,20231108,3052.3726,3051.1531,3062.991,3037.2888,335677834.0
108,20231107,3057.2697,3052.9202,3064.5771,3042.4689,326853455.0
109,20231106,3058.4105,3047.1301,3058.9891,3037.6941,372949630.0
110,20231103,3030.7977,3012.4654,3040.9807,3012.4654,268486347.0
111,20231102,3009.4058,3028.6647,3038.6422,3009.121,268794581.0
112,20231101,3023.0765,3038.1821,3038.3303,3013.933,280110445.0
113,20231031,3018.7706,3019.646,3023.0014,3006.6088,319859967.0
114,20231030,3021.5534,3009.6104,3028.2641,3002.3477,360604238.0
115,20231027,3017.7842,2978.4026,3029.2101,2974.8802,321803717.0
116,20231026,2988.2992,2960.1038,2990.3277,2956.006,291814511.0
117,20231025,2974.1135,2986.4066,2993.2951,2972.4177,332392004.0
118,20231024,2962.2437,2944.3105,2964.7605,2929.0883,310985389.0
119,20231023,2939.2913,2969.7858,2973.6611,2923.5113,278904128.0
120,20231020,2983.0585,2995.3575,3006.2746,2977.1731,267113594.0
121,20231019,3005.3934,3043.1955,3043.1955,3004.7745,304038910.0
122,20231018,3058.7098,3076.5796,3076.5796,3057.0588,268647155.0
123,20231017,3083.4964,3076.4283,3084.0725,3064.8897,259019588.0
124,20231016,3073.813,3091.0647,3091.1257,3063.6856,263882363.0
125,20231013,3088.0991,3091.9972,3094.9153,3080.5481,255085235.0
126,20231012,3107.9007,3101.7051,3109.9898,3092.1771,274827998.0
127,20231011,3078.9556,3085.6989,3095.6594,3071.936,259918692.0
128,20231010,3075.2361,3104.3651,3109.9822,3073.1864,255327379.0
129,20231009,3096.9224,3099.9998,3103.3597,3072.6418,264422205.0
130,20230928,3110.4753,3117.7549,3121.8352,3105.9397,236329981.0
131,20230927,3107.3156,3104.0395,3125.447,3103.8441,240495830.0
132,20230926,3102.2726,3114.0214,3120.2889,3102.2726,222644313.0
